NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
ptáčník	19	1#2	no	x	ík	kínčátp	pták	UNMOT																no
soukeník	20	2	no	x	ík	kínekuos	sukno	UNMOT	soukenný	deNother														no
latiník	20	2	no	x	ík	kínital	latina	UNMOT																no
plochodrážník	21	3#4	no	x	ík	kínžárdohcolp			plochodrážní	COMPOUND														no
marnotratník	22	3#4	no	x	ík	kíntartonram			marnotratný	COMPOUND														no
cizoložník	23	3#4	no	x	ík	kínžolozic			cizoložný	COMPOUND														no
skautík	23	1	no	x	ík	kítuaks	skaut	LOAN																no
samorostlík	24	4	no	x	ík	kíltsoromas			samorostlý	COMPOUND														no
grázlík	25	2	no	x	ík	kílzárg	grázl	LOAN																no
zpátečník	28	2#3	no	x	ík	kínčetápz			zpáteční	deD														no
permoník	28	2	no	x	ík	kínomrep	permon	LOAN																no
bezbožník	29	2#3	no	x	ík	kínžobzeb			bezbožný	deNother														no
plemeník	29	2	no	x	ík	kínemelp	plemeno	UNMOT	plemenný	deNother														no
prostopášník	29	3#4	no	x	ík	kínšápotsorp			prostopášný	COMPOUND														no
pikolík	30	2	no	x	ík	kílokip	pikola	LOAN																no
praporečník	32	3#4	no	x	ík	kínčeroparp			praporečný	deNother														no
chlípník	36	1#2	no	x	ík	kínpílhc			chlípný	UNMOT														no
kožešník	36	2#3	no	x	ík	kínšežok	kožich	deNother																no
fotřík	47	2	no	x	ík	kířtof	fotr	LOAN																no
kavárník	49	2#3	no	x	ík	kínrávak	kavárna	deNother																no
lakýrník	51	2#3	no	x	ík	kínrýkal	lakýrna	deNother																no
agrárník	55	2#3	no	x	ík	kínrárga			agrární	deNloan														no
klučík	55	1	no	x	ík	kíčulk	kluk	UNMOT																no
studentík	55	2	no	x	ík	kítneduts	student	LOAN																no
aparátčík	57	3#4	no	x	ík	kíčtárapa	aparátek	deNdimin																no
světoběžník	63	3#4	no	x	ík	kínžěbotěvs			světoběžný	COMPOUND														no
hipík	73	1	no	x	ík	kípih	hippies	LOAN																no
lazebník	75	2#3	no	x	ík	kínbezal			lazebný	deNother														no
