NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
putykář	4	2	no	x	ář	řákytup	putyka	UNMOT																no
sluníčkář	4	2#3	no	x	ář	řákčínuls	sluníčko	deNdimin																no
sortimentář	4	3	no	x	ář	řátnemitros	sortiment	LOAN																no
technikář	4	2	no	x	ář	řákinhcet	technika	LOAN																no
valchář	4	1#2	no	x	ář	řáhclav	valcha	UNMOT																no
žlučníkář	4	2	no	x	ář	řákínčulž	žlučník	deAother																no
antukář	5	2	no	x	ář	řákutna	antuka	LOAN																no
apatykář	5	3	no	x	ář	řákytapa	apatyka	LOAN																no
deníkář	5	2	no	x	ář	řákíned	deník	deAother																no
jablíčkář	5	2#3	no	x	ář	řákčílbaj	jablíčko	deNdimin																no
lopatář	5	2	no	x	ář	řátapol	lopata	UNMOT																no
motýlkář	5	2#3	no	x	ář	řáklýtom	motýlek	deNdimin																no
olejář	5	2	no	x	ář	řájelo	olej	UNMOT																no
paličkář	5	2#3	no	x	ář	řákčilap	palička	deNdimin																no
parketář	5	2	no	x	ář	řátekrap	parketa	LOAN																no
plastikář	5	2	no	x	ář	řákitsalp	plastika	LOAN																no
politikář	5	3	no	x	ář	řákitilop	politika	LOAN																no
totalitář	5	3	no	x	ář	řátilatot	totalita	LOAN																no
cibulář	6	2	no	x	ář	řálubic	cibule	UNMOT																no
civilkář	6	2#3	no	x	ář	řáklivic	civilka	deAuniv																no
čachrář	6	2	no	x	ář	řárhcač	čachr	LOAN																no
časovkář	6	2#3	no	x	ář	řákvosač	časovka	deAuniv																no
detektivkář	6	3#4	no	x	ář	řákvitketed	detektivka	deAuniv																no
doškář	6	1#2	no	x	ář	řákšod	došek	UNMOT																no
drůbežář	6	2	no	x	ář	řážebůrd	drůbež	UNMOT																no
intrikář	6	2	no	x	ář	řákirtni	intrika	LOAN																no
jazykář	6	2	no	x	ář	řákyzaj	jazyk	UNMOT																no
křížovkář	6	2#3	no	x	ář	řákvožířk	křížovka	deAother																no
lokomotivář	6	4	no	x	ář	řávitomokol	lokomotiva	LOAN																no
petrolejář	6	3	no	x	ář	řájelortep	petrolej	LOAN																no
pistolář	6	2	no	x	ář	řálotsip	pistole	UNMOT																no
prcačkář	6	2#3	no	x	ář	řákčacrp	prcačka	deVaction																no
sádrokartonář	6	4	no	x	ář	řánotrakordás	sádrokartón	COMPOUND																no
tunningář	6	2	no	x	ář	řágninnut	tunning	LOAN																no
chemikář	7	2	no	x	ář	řákimehc	chemie	LOAN																no
kolečkář	7	2#3	no	x	ář	řákčelok	kolečko	deNdimin																no
koloběžkář	7	3#4	no	x	ář	řákžěbolok	koloběžka	COMPOUND																no
kopečkář	7	2#3	no	x	ář	řákčepok	kopeček	deNdimin																no
mandatář	7	2	no	x	ář	řátadnam	mandát	LOAN																no
matematikář	7	4	no	x	ář	řákitametam	matematika	LOAN																no
parukář	7	2	no	x	ář	řákurap	paruka	LOAN																no
pernikář	7	2	no	x	ář	řákinrep	perník	UNMOT																no
punčochář	7	2	no	x	ář	řáhcočnup	punčocha	UNMOT																no
slovníkář	7	2	no	x	ář	řákínvols	slovník	deNother																no
voňavkář	7	2#3	no	x	ář	řákvaňov	voňavka	deVother																no
balonář	8	2	no	x	ář	řánolab	balon	LOAN																no
čtyřkolkář	8	2#3	no	x	ář	řáklokřytč	čtyřkolka	deAuniv																no
facebookář	8	2	no	x	ář	řákoobecaf	Facebook	LOAN																no
jahodář	8	2	no	x	ář	řádohaj	jahoda	UNMOT																no
kytičkář	8	2#3	no	x	ář	řákčityk	kytička	deNdimin																no
lahůdkář	8	2#3	no	x	ář	řákdůhal	lahůdka	deNdimin																no
melouchář	8	2	no	x	ář	řáhcuolem	melouch	UNMOT																no
pletichář	8	2	no	x	ář	řáhcitelp	pleticha	deVother																no
vlásenkář	8	2#3	no	x	ář	řáknesálv	vlásenka	deNother																no
korytář	9	2	no	x	ář	řátyrok	koryto	UNMOT																no
mramorář	9	2	no	x	ář	řáromarm	mramor	UNMOT																no
parlamentář	9	3	no	x	ář	řátnemalrap	parlament	LOAN																no
skořápkář	9	2#3	no	x	ář	řákpářoks	skořápka	deNdimin																no
statutář	9	2	no	x	ář	řátutats	statut	LOAN																no
dějepisář	10	3	no	x	ář	řásipejěd	dějepis	COMPOUND																no
karosář	10	2	no	x	ář	řásorak	karosérie	LOAN																no
mydlář	10	2	no	x	ář	řáldym	mýdlo	deVother																no
panikář	10	2	no	x	ář	řákinap	panika	LOAN																no
plošinář	10	2	no	x	ář	řánišolp	plošina	deAother																no
souchotinář	10	3	no	x	ář	řánitohcuos	souchotiny	deAother																no
unitář	10	2	no	x	ář	řátinu	unita	LOAN																no
hladovkář	11	2#3	no	x	ář	řákvodalh	hladovka	deAother																no
mlíkař	11	1	no	x	ář	řakílm	mlíko	UNMOT																no
permanentkář	11	3#4	no	x	ář	řáktnenamrep	permanentka	deAuniv																no
sálovkář	11	2#3	no	x	ář	řákvolás	sálovka	deAuniv																no
konziliář	12	3	no	x	ář	řáiliznok	konzilium	LOAN																no
okrskář	12	2#3	no	x	ář	řáksrko	okrsek	deNdimin																no
šatnář	12	1#2	no	x	ář	řántaš	šatna	deNother																no
velbloudář	12	2	no	x	ář	řáduolblev	velbloud	UNMOT																no
baťůžkář	13	2#3	no	x	ář	řákžůťab	baťůžek	deNdimin																no
betlémář	13	2	no	x	ář	řámélteb	betlém	UNMOT																no
matrikář	13	2	no	x	ář	řákirtam	matrika	LOAN																no
motorář	13	2	no	x	ář	řárotom	motor	LOAN																no
rukavičkář	13	3#4	no	x	ář	řákčivakur	rukavička	deNdimin																no
šindelář	13	2	no	x	ář	řáledniš	šindel	UNMOT																no
dobytkář	14	2#3	no	x	ář	řáktybod	dobytek	UNMOT																no
elitář	14	2	no	x	ář	řátile	elita	LOAN																no
harpunář	14	2	no	x	ář	řánuprah	harpuna	UNMOT																no
hlavičkář	14	2#3	no	x	ář	řákčivalh	hlavička	deNdimin																no
kočičkář	14	2#3	no	x	ář	řákčičok	kočička	deNdimin																no
latinář	14	2	no	x	ář	řánital	latina	UNMOT																no
železář	14	2	no	x	ář	řázelež	železo	UNMOT																no
hádankář	15	2#3	no	x	ář	řáknadáh	hádanka	deVother																no
hraničář	15	2	no	x	ář	řáčinarh	hranice	deNother																no
kotlář	15	2	no	x	ář	řáltok	kotel	UNMOT																no
soudničkář	15	2#3	no	x	ář	řákčinduos	soudnička	deAother																no
kopaničář	16	3	no	x	ář	řáčinapok	kopanice	deAother																no
matikář	16	2	no	x	ář	řákitam	matika	deNother																no
brašnář	17	1#2	no	x	ář	řánšarb	brašna	UNMOT																no
heligonkář	17	3#4	no	x	ář	řáknogileh	heligonka	deAuniv																no
němčinář	17	2	no	x	ář	řáničměn	němčina	deAother																no
angličtinář	18	3	no	x	ář	řánitčilgna	angličtina	deAother																no
autoritář	18	3	no	x	ář	řátirotua	autorita	LOAN																no
rovnostář	18	2	no	x	ář	řátsonvor	rovnost	deAother																no
skalničkář	18	2#3	no	x	ář	řákčinlaks	skalnička	deNother																no
taškář	18	1#2	no	x	ář	řákšat	taška	UNMOT																no
holubář	20	2	no	x	ář	řábuloh	holub	UNMOT																no
pánbíčkář	20	2#3	no	x	ář	řákčíbnáp	pánbíček	COMPOUND																no
perníkář	20	2	no	x	ář	řákínrep	perník	UNMOT																no
bylinář	21	2	no	x	ář	řánilyb	bylina	deNother																no
dietář	21	2	no	x	ář	řáteid	dieta	LOAN																no
fyzikář	21	2	no	x	ář	řákizyf	fyzika	LOAN																no
kaktusář	21	2	no	x	ář	řásutkak	kaktus	UNMOT																no
komínář	21	2	no	x	ář	řánímok	komín	UNMOT																no
cihlář	23	2	no	x	ář	řálhic	cihla	UNMOT																no
čerpadlář	24	3	no	x	ář	řáldapreč	čerpadlo	deVother																no
sektář	24	1	no	x	ář	řátkes	sekta	LOAN																no
marionetář	25	4	no	x	ář	řátenoiram	marioneta	LOAN																no
rekvizitář	25	3	no	x	ář	řátizivker	rekvizita	LOAN																no
kolotočář	26	3	no	x	ář	řáčotolok	kolotoč	COMPOUND																no
komplementář	26	3	no	x	ář	řátnemelpmok	komplement	LOAN																no
topenář	27	2	no	x	ář	řánepot	topení	deVother																no
trenýrkář	27	2#3	no	x	ář	řákrýnert	trenýrky	deNdimin																no
bankrotář	29	2	no	x	ář	řátorknab	bankrot	LOAN																no
batůžkář	30	2#3	no	x	ář	řákžůtab	batůžek	deNdimin																no
jedničkář	30	2#3	no	x	ář	řákčindej	jednička	deC																no
jirchář	30	1	no	x	ář	řáhcrij	jircha	UNMOT																no
knoflíkář	30	2	no	x	ář	řákílfonk	knoflík	UNMOT																no
sekundář	30	2	no	x	ář	řádnukes	sekunda	LOAN																no
kamnář	31	1#2	no	x	ář	řánmak	kamna	UNMOT																no
bordelář	32	2	no	x	ář	řáledrob	bordel	LOAN																no
kladivář	33	2	no	x	ář	řávidalk	kladivo	UNMOT																no
květinář	33	2	no	x	ář	řánitěvk	květina	deNother																no
lampář	33	1	no	x	ář	řápmal	lampa	UNMOT																no
češtinář	34	2	no	x	ář	řánitšeč	čeština	deAother																no
kontrarevolucionář	34	7	no	x	ář	řánoiculoverartnok	kontrarevoluce	LOAN																no
domkář	35	1#2	no	x	ář	řákmod	domek	deNdimin																no
krčmář	35	1#2	no	x	ář	řámčrk	krčma	UNMOT																no
lnář	35	1	no	x	ář	řánl	len	UNMOT																no
bylinkář	36	2#3	no	x	ář	řáknilyb	bylinka	deNdimin																no
instrumentář	36	3	no	x	ář	řátnemurtsni	instrument	LOAN																no
medvědář	36	2	no	x	ář	řáděvdem	medvěd	UNMOT																no
cukrovkář	37	2#3	no	x	ář	řákvorkuc	cukrovka	deAother																no
reakcionář	40	4	no	x	ář	řánoickaer	reakce	LOAN																no
velrybář	40	2	no	x	ář	řábyrlev	velryba	COMPOUND																no
flašinetář	41	3	no	x	ář	řátenišalf	flašinet	LOAN																no
tajnůstkář	41	2#3	no	x	ář	řáktsůnjat	tajnůstka	deNdimin																no
drožkář	46	1#2	no	x	ář	řákžord	drožka	UNMOT																no
šmelinář	46	2	no	x	ář	řánilemš	šmelina	deVaction																no
antikvář	47	2#3	no	x	ář	řávkitna	antikva	LOAN																no
mastičkář	48	2#3	no	x	ář	řákčitsam	mastička	deNdimin																no
rybníkář	50	2	no	x	ář	řákínbyr	rybník	deNother																no
uzenář	52	2	no	x	ář	řánezu			uzený	deVnpart														no
taxíkář	52	2	no	x	ář	řákíxat	taxík	deNdimin																no
puntičkář	54	2#3	no	x	ář	řákčitnup	puntíček	deNdimin																no
tunelář	54	2	no	x	ář	řálenut	tunel	LOAN																no
mocnář	55	1#2	no	x	ář	řáncom	moc	UNMOT																no
ovocnář	58	2#3	no	x	ář	řáncovo			ovocný	deNother														no
komisionář	58	4	no	x	ář	řánoisimok	komise	LOAN																no
slalomář	58	2	no	x	ář	řámolals	slalom	LOAN																no
košíkář	61	2	no	x	ář	řákíšok	košík	deNdimin																no
sklenář	62	1	no	x	ář	řánelks	sklo	UNMOT																no
kuželkář	63	2#3	no	x	ář	řákležuk	kuželka	deNother																no
tělocvikář	64	3	no	x	ář	řákivcolět	tělocvik	COMPOUND																no
cestář	68	1	no	x	ář	řátsec	cesta	UNMOT																no
hvězdář	71	1	no	x	ář	řádzěvh	hvězda	UNMOT																no
koncesionář	74	4	no	x	ář	řánoisecnok	koncese	LOAN																no
bednář	79	1#2	no	x	ář	řándeb	bedna	UNMOT																no
ceremoniář	79	4	no	x	ář	řáinomerec	ceremonie	LOAN																no
kramář	81	1	no	x	ář	řámark	krám	UNMOT																no
kartář	82	1	no	x	ář	řátrak	karta	UNMOT																no
krajinář	84	2	no	x	ář	řánijark	krajina	deNother																no
kajakář	85	2	no	x	ář	řákajak	kajak	LOAN																no
sanitář	92	2	no	x	ář	řátinas	sanita	LOAN																no
varhanář	92	2	no	x	ář	řánahrav	varhany	UNMOT																no
hadrář	97	1	no	x	ář	řárdah	hadr	UNMOT																no
jeskyňář	98	2	no	x	ář	řáňyksej	jeskyně	UNMOT																no
milicionář	99	4	no	x	ář	řánoicilim	milice	LOAN																no
kolář	102	1	no	x	ář	řálok	kolo	UNMOT																no
sukničkář	102	2#3	no	x	ář	řákčinkus	suknička	deNdimin																no
harmonikář	108	3	no	x	ář	řákinomrah	harmonika	UNMOT																no
zelinář	110	2	no	x	ář	řánilez			zelený	UNMOT														no
lichvář	139	1#2	no	x	ář	řávhcil	lichva	UNMOT																no
popelář	149	2	no	x	ář	řálepop	popel	UNMOT																no
templář	163	1	no	x	ář	řálpmet	templ	LOAN																no
statkář	170	1#2	no	x	ář	řáktats	statek	deVother																no
železničář	172	3	no	x	ář	řáčinzelež	železnice	deAother																no
hodinář	175	2	no	x	ář	řánidoh	hodiny	UNMOT																no
loutkář	183	1#2	no	x	ář	řáktuol	loutka	UNMOT																no
rychtář	190	1	no	x	ář	řáthcyr	rychta	UNMOT																no
chalupář	223	2	no	x	ář	řápulahc	chalupa	UNMOT																no
cukrář	225	1	no	x	ář	řárkuc	cukr	UNMOT																no
vodnář	229	1#2	no	x	ář	řándov			vodní	deNother														no
ocelář	234	2	no	x	ář	řáleco	ocel	UNMOT																no
elektrikář	244	3	no	x	ář	řákirtkele	elektrika	LOAN																no
řezbář	261	1#2	no	x	ář	řábzeř	řezba	deVother																no
vizionář	310	3	no	x	ář	řánoiziv	vize	LOAN																no
samotář	372	2	no	x	ář	řátomas	samota	deZ																no
truhlář	375	2	no	x	ář	řálhurt	truhla	UNMOT																no
vozíčkář	382	2#3	no	x	ář	řákčízov	vozíček	deNdimin																no
zednář	388	1#2	no	x	ář	řández	zeď	UNMOT																no
házenkář	397	2#3	no	x	ář	řáknezáh	házená	deVother																no
hodnostář	414	2	no	x	ář	řátsondoh	hodnost	deAother																no
misionář	431	3	no	x	ář	řánoisim	misie	LOAN																no
revolucionář	437	5	no	x	ář	řánoiculover	revoluce	LOAN																no
silničář	438	2	no	x	ář	řáčinlis	silnice	deNother																no
kronikář	446	2	no	x	ář	řákinork	kronika	LOAN																no
motorkář	493	2#3	no	x	ář	řákrotom	motorka	deNother																no
písničkář	547	2#3	no	x	ář	řákčinsíp	písnička	deNdimin																no
milionář	550	3	no	x	ář	řánoilim	milión	LOAN																no
legionář	687	3	no	x	ář	řánoigel	legie	LOAN																no
hospodář	715	2	no	x	ář	řádopsoh	hospoda	UNMOT																no
taxikář	840	2	no	x	ář	řákixat	taxík	deNdimin																no
miliardář	893	3	no	x	ář	řádrailim	miliarda	LOAN																no
veterinář	955	3	no	x	ář	řániretev	veterina	LOAN																no
farmář	1320	1#2	no	x	ář	řámraf	farma	LOAN																no
akcionář	1388	3	no	x	ář	řánoicka	akcie	LOAN																no
funkcionář	1450	3	no	x	ář	řánoicknuf	funkce	LOAN																no
rybář	1821	1	no	x	ář	řábyr	ryba	UNMOT																no
farář	1822	1	no	x	ář	řáraf	fara	UNMOT																no
brankář	3973	1#2	no	x	ář	řáknarb	branka	deNdimin																no
novinář	6738	2	no	x	ář	řánivon	noviny	deAother																no
zvonař	25	1	no	x	ař	řanovz	zvon	UNMOT					zvonit	deNaction	i	imp	4	no	NA					no
zprávař	11	1	yes1	x	ař	řavárpz	zpráva	deVaction					zpravit	deVpref	i	per	4	yes	zpravovat	deVsecimp	ova	imp	3	no
zmatkař	14	1#2	yes1	x	ař	řaktamz	zmatek	deVaction					zmatkovat	deNaction	ova	imp	3	no	NA					no
vrtař	8	1	no	x	ař	řatrv	vrt	deVaction					vrtat	UNMOT	a	imp	5	yes	vrtnout	UNMOT	nou	per	2	no
vlekař	122	1	no	x	ař	řakelv	vlek	deVaction					vléci	UNMOT	0	imp	1	no	NA					no
vladař	677	1	no	x	ař	řadalv	vláda	UNMOT					vládnout	deNaction	nou	imp	2	no	NA					no
veslař	244	2	no	x	ař	řalsev	veslo	UNMOT					veslovat	deNaction	ova	imp	3	no	NA					no
účtař	1	1#2	yes1	x	ař	řatčú	účet	deVother					účtovat	deNaction	ova	imp	3	no	NA					no
tiskař	234	1	no	x	ař	řaksit	tisk	deNa					tisknout	UNMOT	nou	imp	2	yes	tiskat	UNMOT	a	imp	5	no
tipař	20	1	no	x	ař	řapit	tip	LOAN					tipovat	deNloan	ova	imp	3	yes	tipnout	deNloan	nou	per	2	no
těžař	251	1	no	x	ař	řažět							těžit	UNMOT	i	imp	4	no	NA					no
textař	327	1	no	x	ař	řatxet	text	LOAN					textovat	deNloan	ova	imp	3	no	NA					no
tesař	317	1	no	x	ař	řaset							tesat	UNMOT	a	imp	1#5	no	NA					no
šprýmař	80	1	no	x	ař	řamýrpš	šprým	LOAN					šprýmovat	deNaction	ova	imp	3	no	NA					no
šperkař	64	1	no	x	ař	řakrepš	šperk	UNMOT					šperkovat	deNaction	ova	imp	3	no	NA					no
stopař	208	1	no	x	ař	řapots	stopa	UNMOT					stopovat	deNaction	ova	imp	3	no	NA					no
stepař	13	1	no	x	ař	řapets	step	UNMOT					stepovat	deNloan	ova	imp	3	no	NA					no
stavař	200	1	no	x	ař	řavats							stavět	UNMOT	ě	imp	4	no	NA					no
stanař	3	1	no	x	ař	řanats	stan	deVother					stanovat	deVsecimp	ova	imp	3	no	NA					no
spojař	66	1	yes1	x	ař	řajops	spoj	deVaction					spojit	deVpref	i	per	4	yes	spojovat	deVsecimp	ova	imp	3	no
směnař	9	1	yes1	x	ař	řaněms	směna	deVaction					směnit	deVpref	i	per	4	yes	směňovat	deVsecimp	ova	imp	3	no
smečař	56	1	no	x	ař	řačems	smeč	UNMOT					smečovat	deNloan	ova	imp	3	no	NA					no
skejtař	1	1	no	x	ař	řatjeks	skejt	LOAN					skejtovat	deNloan	ova	imp	3	no	NA					no
sjezdař	160	1	yes1	x	ař	řadzejs	sjezd	deVaction					sjezdit	deVpref	i	per	4	yes	sjíždět	deVsecimp	ě	imp	4	no
saunař	4	1	no	x	ař	řanuas	sauna	LOAN					saunovat	deNloan	ova	imp	3	no	NA					no
rýmař	3	1	no	x	ař	řamýr	rým	UNMOT					rýmovat	deNaction	ova	imp	3	no	NA					no
rejdař	44	1	no	x	ař	řadjer	rejd	LOAN					rejdit	UNMOT	i	imp	4	no	NA					no
rámař	4	1	no	x	ař	řamár	rám	UNMOT					rámovat	deNaction	ova	imp	3	no	NA					no
pumpař	75	1	no	x	ař	řapmup	pumpa	LOAN					pumpovat	deNloan	ova	imp	3	no	NA					no
písař	489	1	no	x	ař	řasíp							psát	UNMOT	á	imp	1	no	NA					no
pletař	2	1	no	x	ař	řatelp							plést	UNMOT	0	imp	1	no	NA					no
plachtař	15	1	no	x	ař	řathcalp	plachta	UNMOT					plachtit	deNaction	i	imp	4	no	NA					no
pilař	31	1	no	x	ař	řalip	pila	UNMOT					pilovat	deNaction	ova	imp	3	no	NA					no
pekař	496	1	no	x	ař	řakep							péci	UNMOT	0	imp	1	no	NA					no
nudař	3	1	no	x	ař	řadun	nuda	UNMOT					nudit	deNaction	i	imp	4	no	NA					no
metař	92	1	no	x	ař	řatem							metat	UNMOT	a	imp	5	no	NA					no
lyžař	1253	1	no	x	ař	řažyl	lyže	UNMOT					lyžovat	deNaction	ova	imp	3	no	NA					no
lékař	20198	1	no	x	ař	řakél	lék	UNMOT					léčit	deNaction	i	imp	4	no	NA					no
kuchař	1843	1	no	x	ař	řahcuk							kuchat	UNMOT	a	imp	5	no	NA					no
kšeftař	26	1	no	x	ař	řatfešk	kšeft	LOAN					kšeftovat	deNloan	ova	imp	3	no	NA					no
kempař	11	1	no	x	ař	řapmek	kemp	LOAN					kempovat	deNloan	ova	imp	3	no	NA					no
hudlař	8	2	no	x	ař	řalduh							hudlat	UNMOT	a	imp	5	no	NA					no
hodař	2	1	no	x	ař	řadoh	hod	deVaction					hodit	UNMOT	i	bip	4	yes	házet	UNMOT	e	imp	1#4	no
hlídkař	1	1#2	no	x	ař	řakdílh	hlídka	deVother					hlídkovat	deNaction	ova	imp	3	no	NA					no
frézař	7	1	no	x	ař	řazérf	fréza	LOAN					frézovat	deNloan	ova	imp	3	no	NA					no
filmař	1095	1	no	x	ař	řamlif	film	LOAN					filmovat	deNloan	ova	imp	3	no	NA					no
drátař	5	1	no	x	ař	řatárd	drát	UNMOT					drátovat	deNaction	ova	imp	3	no	NA					no
daňař	5	1	no	x	ař	řaňad	daň	deVother					danit	deNaction	i	imp	4	no	NA					no
bruslař	284	2	no	x	ař	řalsurb	brusle	UNMOT					bruslit	deNaction	i	imp	4	no	NA					no
blokař	42	1	no	x	ař	řakolb	blok	LOAN					blokovat	deNloan	ova	imp	3	no	NA					no
zbrojař	61	1	yes1	x	ař	řajorbz	zbroj	deVother																no
svrškař	1	1#2	yes1	x	ař	řakšrvs	svršek	deNother																no
správkař	7	1#2	yes1	x	ař	řakvárps	správka	deVaction																no
oštěpař	107	2	yes1	x	ař	řapětšo	oštěp	deVother																no
nástrojař	40	2	yes1	x	ař	řajortsán	nástroj	deNother																no
spolkař	1	1#2	no	x	ař	řaklops	spolek	deD																no
bobař	1	1	no	x	ař	řabob	bob	UNMOT																no
boulař	1	1	no	x	ař	řaluob	boule	UNMOT																no
breakař	1	1	no	x	ař	řakaerb	break	LOAN																no
bronzař	1	1	no	x	ař	řaznorb	bronz	LOAN																no
céčkař	1	1#2	no	x	ař	řakčéc	céčko	deABBREV																no
cévař	1	1	no	x	ař	řavéc	céva	UNMOT																no
dávkař	1	1#2	no	x	ař	řakvád	dávka	deVother																no
dvoustovkař	1	2#3	no	x	ař	řakvotsuovd	dvoustovka	COMPOUND																no
dýmkař	1	1#2	no	x	ař	řakmýd	dýmka	deNother																no
fórkař	1	1#2	no	x	ař	řakróf	fórek	deNdimin																no
fourcrossař	1	2	no	x	ař	řassorcruof	fourcross	LOAN																no
hadař	1	1	no	x	ař	řadah	had	UNMOT																no
hnojař	1	1	no	x	ař	řajonh	hnůj	UNMOT																no
hovnař	1	1#2	no	x	ař	řanvoh	hovno	UNMOT																no
hřibař	1	1	no	x	ař	řabiřh	hřib	UNMOT																no
huťař	1	1	no	x	ař	řaťuh	huť	UNMOT																no
chcankař	1	1#2	no	x	ař	řaknachc	chcanky	deVother																no
chlebař	1	1	no	x	ař	řabelhc	chléb	UNMOT																no
chůdař	1	1	no	x	ař	řadůhc	chůda	deVother																no
jehlař	1	2	no	x	ař	řalhej	jehla	UNMOT																no
lesař	1	1	no	x	ař	řasel	les	UNMOT																no
loktař	1	1	no	x	ař	řatkol	loket	UNMOT																no
masař	1	1	no	x	ař	řasam	maso	UNMOT																no
měďař	1	1	no	x	ař	řaďěm	měď	UNMOT																no
mincař	1	1	no	x	ař	řacnim	mince	UNMOT																no
motocrossař	1	3	no	x	ař	řassorcotom	motocross	LOAN																no
myškař	1	1#2	no	x	ař	řakšym	myška	deNdimin																no
niťař	1	1	no	x	ař	řaťin	nit	UNMOT																no
ohňostrojař	1	3	no	x	ař	řajortsoňho	ohňostroj	COMPOUND																no
osmitisícovkař	1	5#6	no	x	ař	řakvocísitimso	osmitisícovka	deAuniv																no
písmař	1	1#2	no	x	ař	řamsíp	písmo	deVother																no
plečkař	1	1#2	no	x	ař	řakčelp	plečka	deVother																no
plicař	1	1	no	x	ař	řacilp	plíce	UNMOT																no
ploutvař	1	1#2	no	x	ař	řavtuolp	ploutev	deVother																no
prádlař	1	2	no	x	ař	řaldárp	prádlo	deVother																no
prsař	1	1	no	x	ař	řasrp	prs	UNMOT																no
rumař	1	1	no	x	ař	řamur	rum	UNMOT																no
silnoproudař	1	3	no	x	ař	řaduorponlis	silnoproud	COMPOUND																no
sirkař	1	1#2	no	x	ař	řakris	sirka	deNother																no
sítotiskař	1	3	no	x	ař	řaksitotís	sítotisk	COMPOUND																no
sklínkař	1	1#2	no	x	ař	řaknílks	sklínka	deNdimin																no
snowboardkrosař	1	3	no	x	ař	řasorkdraobwons	snowboardkros	LOAN																no
sračkař	1	1#2	no	x	ař	řakčars	sračka	deVaction																no
struhař	1	1	no	x	ař	řahurts	struha	UNMOT																no
středoproudař	1	3	no	x	ař	řaduorpodeřts	středoproud	COMPOUND																no
šestkař	1	1#2	no	x	ař	řaktseš	šestka	deC																no
škrobař	1	1	no	x	ař	řaborkš	škrob	UNMOT																no
štrekař	1	1	no	x	ař	řakertš	štreka	LOAN																no
travař	1	1	no	x	ař	řavart	tráva	UNMOT																no
trenkař	1	1#2	no	x	ař	řaknert	trenky	UNMOT																no
uhlař	1	2	no	x	ař	řalhu	uhlí	UNMOT																no
uzdař	1	1#2	no	x	ař	řadzu	uzda	UNMOT																no
vláčkař	1	1#2	no	x	ař	řakčálv	vláček	deNdimin																no
vlakař	1	1	no	x	ař	řakalv	vlak	UNMOT																no
vředař	1	1	no	x	ař	řadeřv	vřed	UNMOT																no
volař	1	1	no	x	ař	řalov	vůl	UNMOT																no
vzduchař	1	1	no	x	ař	řahcudzv	vzduch	UNMOT																no
zdrojař	1	1	no	x	ař	řajordz	zdroj	UNMOT																no
brokař	2	1	no	x	ař	řakorb	brok	UNMOT																no
cínař	2	1	no	x	ař	řaníc	cín	UNMOT																no
člunař	2	1	no	x	ař	řanulč	člun	UNMOT																no
čtyřkolkař	2	2#3	no	x	ař	řaklokřytč	čtyřkolka	deAuniv																no
dredař	2	1	no	x	ař	řaderd	dred	LOAN																no
drogař	2	1	no	x	ař	řagord	droga	LOAN																no
duchař	2	1	no	x	ař	řahcud	duch	deVother																no
klepař	2	1	no	x	ař	řapelk	klep	deVaction																no
košař	2	1	no	x	ař	řašok	koš	UNMOT																no
kožkař	2	1#2	no	x	ař	řakžok	kožka	deNdimin																no
laufař	2	1	no	x	ař	řafual	lauf	LOAN																no
lomař	2	1	no	x	ař	řamol	lom	deVaction																no
loutnař	2	1#2	no	x	ař	řantuol	loutna	UNMOT																no
oslař	2	2	no	x	ař	řalso	osel	UNMOT																no
osmibojař	2	3	no	x	ař	řajobimso	osmiboj	COMPOUND																no
pecař	2	1	no	x	ař	řacep	pec	deVother																no
pětkař	2	1#2	no	x	ař	řaktěp	pětka	deC																no
pravdař	2	1#2	no	x	ař	řadvarp	pravda 	deAother																no
prýmkař	2	1#2	no	x	ař	řakmýrp	prýmka	deNdimin																no
sedmibojař	2	3	no	x	ař	řajobimdes	sedmiboj	COMPOUND																no
skládkař	2	1#2	no	x	ař	řakdálks	skládka	deVother																no
snowboardcrossař	2	3	no	x	ař	řassorcdraobwons	snowboardcross	LOAN																no
šífař	2	1	no	x	ař	řafíš	šíf	LOAN																no
šípař	2	1	no	x	ař	řapíš	šíp	UNMOT																no
štítař	2	1	no	x	ař	řatítš	štít	UNMOT																no
trikař	2	1	no	x	ař	řakirt	trik	LOAN																no
váhař	2	1	no	x	ař	řaháv	váha	UNMOT																no
valchař	2	1	no	x	ař	řahclav	valcha	UNMOT																no
znakař	2	1	no	x	ař	řakanz	znak	UNMOT																no
broučkař	3	1#2	no	x	ař	řakčuorb	brouček	deNdimin																no
cenař	3	1	no	x	ař	řanec	cena	UNMOT																no
gumař	3	1	no	x	ař	řamug	guma	LOAN																no
hláškař	3	1#2	no	x	ař	řakšálh	hláška	deVother																no
hloubkař	3	1#2	no	x	ař	řakbuolh	hloubka	deAother																no
krupař	3	1	no	x	ař	řapurk	kroupa	UNMOT																no
